Lat_Lon,Crime_Rating
"(40.706149952, -74.006021171)",39.6
"(40.70614995200003, -74.00602117099999)",8.4
"(40.70618439500004, -74.01793078599997)",8.5
"(40.70620464, -74.009159081)",11.6
"(40.70621039100007, -74.00488143099993)",7.1
"(40.706242539, -74.014327618)",16.299999999999997
"(40.706257112, -74.003139354)",29.5
"(40.706286803, -74.011189718)",9.2
"(40.706327798, -74.012881312)",53.3
"(40.706327798000075, -74.01288131199995)",27.0
"(40.706383193, -74.007132086)",20.7
"(40.706388512, -74.00950536)",28.5
"(40.706416262, -74.004560442)",4.5
"(40.70650389000008, -74.00822856799994)",7.0
"(40.706527512, -74.017790213)",11.6
"(40.706527512000044, -74.01779021299996)",8.5
"(40.706577246, -74.01552515)",4.5
"(40.706577246000045, -74.01552514999997)",6.4
"(40.706622085, -74.00534674)",11.5
"(40.70662208500005, -74.00534673999994)",8.5
"(40.706665026, -74.015907493)",23.9
"(40.706665026000046, -74.01590749299999)",12.9
"(40.706706777, -74.010933704)",9.2
"(40.706715507, -74.002331449)",35.6
"(40.70671550700007, -74.00233144899995)",6.4
"(40.706731799, -74.006782262)",31.6
"(40.70675626, -74.010089717)",28.0
"(40.70675626000008, -74.01008971699997)",7.0
"(40.706775236, -74.012509895)",29.1
"(40.706775236000055, -74.01250989499994)",8.5
"(40.706848683, -74.017577496)",8.5
"(40.706860895, -74.00500411)",33.4
"(40.706881867, -74.015875084)",4.5
"(40.706915039, -74.014071678)",8.4
"(40.706948484, -74.009007697)",15.6
"(40.706950787, -74.013519841)",26.1
"(40.706965245, -74.00371648)",7.0
"(40.706978808, -74.007121329)",34.1
"(40.706989826, -74.006457674)",4.5
"(40.706998227, -74.001833716)",53.0
"(40.707102375000034, -74.00620520499997)",7.1
"(40.707118164, -74.013963516)",15.4
"(40.707118362, -74.012228627)",31.7
"(40.707124005, -74.010677687)",35.4
"(40.707124005000026, -74.01067768699994)",7.2
"(40.707127126, -74.005242183)",22.7
"(40.70714886500008, -74.00882738299998)",13.4
"(40.707151859, -74.004531637)",39.3
"(40.70715185900008, -74.00453163699996)",7.0
"(40.707153916, -74.013375609)",13.0
"(40.70715391600004, -74.013375609)",7.0
"(40.707158875, -74.017350347)",20.2
"(40.707214924, -74.005952737)",18.5
"(40.70721492400003, -74.00595273699997)",7.1
"(40.707223279, -74.002746255)",17.5
"(40.70722856, -74.0074604)",11.5
"(40.70722856000003, -74.00746039999996)",4.5
"(40.707305514, -74.005718301)",8.5
"(40.707321602, -74.010966266)",16.2
"(40.707324468, -74.009606485)",11.5
"(40.70732446800002, -74.00960648499995)",11.5
"(40.707349247, -74.008647067)",14.2
"(40.707371524, -74.001184494)",11.5
"(40.707396102, -74.005483862)",33.7
"(40.70742642, -74.001061862)",47.6
"(40.70742642000005, -74.00106186199997)",25.4
"(40.707451091, -74.002926606)",22.6
"(40.707458742, -74.011947354)",18.2
"(40.70745874200002, -74.01194735399997)",8.5
"(40.707466536, -74.015626349)",4.5
"(40.707471812, -74.017123196)",38.5
"(40.707471812000044, -74.01712319599994)",7.1
"(40.707473015, -74.004041126)",64.9
"(40.707478307, -74.007864395)",13.600000000000001
"(40.70747830700003, -74.00786439499996)",8.5
"(40.707489533, -74.002223271)",39.5
"(40.707516992, -74.001516328)",8.4
"(40.707519528, -74.007099746)",4.5
"(40.70754637, -74.013776048)",9.2
"(40.707546370000045, -74.01377604799995)",4.5
"(40.707607319, -74.007734563)",7.0
"(40.70760731900003, -74.00773456299999)",7.1
